NSID	Designweight	SampPSU	SampStratum	IndSchool	W1FinWt	DobyearYP	DobmonthYP	W1schstyHS	W1stschHS	W1senMP	W1senageMP	W1sencurrMP	W1sen1MP0a	W1sen1MP0b	W1sen1MP0c	W1sen1MP0d	W1sen1MP0e	W1sen1MP0f	W1sen1MP0g	W1sen1MP0h	W1sen1MP0i	W1sen1MP0j	W1sen1MP0k	W1statedMP	W1stated2MP	W1sencurr2MP	W1sentranMP	W1scomadiMP	W1parqualMP	W1kiddifMP	W1servssMP	W1servewMP	W1servothMP	W1evercarMP0a	W1evercarMP0b	W1evercarMP0c	W1evercarMP0d	W1evercarMP0e	W1evercarMP0f	W1evercarMP0g	W1evercarMP0h	W1whencarMP	W1montcar1MP	W1montcar2MP	W1nowcareMP	W1nowcaryMP	W1nowcarmMP	W1chstyrMP	W1chstmMP	W1stoplivMP	W1abs3meMP	W1abs3mnMP	W1abs3myMP	W1abs3mwMP	W1abs1myMP	W1abs1mwMP	W1suspendMP	W1sutimesMP	W1sutime2MP	W1expelMP	W1exp3yrMP	W1exp3yr2MP	W1expwhatMP0a	W1expwhatMP0b	W1expwhatMP0c	W1expwhatMP0d	W1expwhatMP0e	W1expwhatMP0f	W1expwhatMP0g	W1expwhatMP0h	W1expwhatMP0i	W1expwhatMP0j	W1pbull1MP0a	W1pbull1MP0b	W1pbull1MP0c	W1pbull1MP0d	W1pbull1MP0e	W1pbull1MP0f	W1pbull1MP0g	W1pbull1MP0h	W1pbull1MP0i	W1pbull1MP0j	W1pbulfrqMP	W1Police1MP	W1police2MP	W1chea1HS	W1chea4bHS	W1chea5HS	W1chea7HS	W1chea8HS	W1sexYP	W1ethnicYP	W1englangYP	W1relig1YP	W1relig2YP	W1relig3YP	W1sfac1YP	W1sfac2YP	W1sfac3YP	W1sfac4YP	W1favesYP	W1hatesYP	W1lmathYP	W1lengYP	W1lsciYP	W1lictYP	W1gmathYP	W1gengYP	W1gsciYP	W1gictYP	W1y10choiYP	W1choicYP0a	W1choicYP0b	W1choicYP0c	W1choicYP0d	W1choicYP0e	W1Choice1YP	W1choice3YP	W1choice3aYP	W1choice4YP	W1choice5YP	W1choice6YP	W1choice7YP	W1choice8YP	W1y10satYP	W1sruleYP	W1sdiscYP	W1squietYP	W1squiet2YP	W1snodisYP	W1hwhaveYP	W1hwdoYP	W1hwdo1YP	W1hwndayYP	W1hwhelpYP	W1hwpchlYP	W1hwtchkYP	W1comlocYP0a	W1comlocYP0b	W1comlocYP0c	W1comlocYP0d	W1comlocYP0e	W1comloc2YP	W1comloc3YP	W1hcomsYP	W1hintdYP0a	W1hintdYP0b	W1hintdYP0c	W1hintdYP0d	W1hintdYP0e	W1hintdYP0f	W1hintdYP0g	W1hintdYP0h	W1hintdYP0i	W1hintdYP0j	W1hint1YP0a	W1hint1YP0b	W1hint1YP0c	W1hint1YP0d	W1hint1YP0e	W1hint1YP0f	W1hint1YP0g	W1hint1YP0h	W1hint1YP0i	W1hint1YP0j	W1hint1YP0k	W1scomictYP	W1scomothYP	W1scomhelYP	W1mobpho1YP	W1mobp2YP0a	W1mobp2YP0b	W1mobp2YP0c	W1mobp2YP0d	W1mobp2YP0e	W1sssportYP	W1ssportfYP	W1ssclubYP	W1ssclubfYP	W1ssexamYP	W1ssexamfYP	W1ssdropYP	W1ssdropfYP	W1ssholYP	W1ssholfYP	W1advconYP	W1advperYP	W1advconnYP	W1advfrsYP	W1advteacYP	W1advfamYP	W1advpalYP	W1infoconYP	W1infofrnYP	W1infoteYP	W1infofamYP	W1plann16YP	W1plast16YP	W1heposs9YP	W1hlikeYP	W1pladk16YP	W1pladk2YP	W1fplan16YP	W1plan16YP	W1pla16YP	W1quahelpYP	W1quawageYP	W1quaworkYP	W1quavarYP	W1quapromYP	W1quahourYP	W1impjobYP	W1impfamYP	W1nextyearYP	W1mightyrYP	W1endupYP	W1ambitYP	W1scompinYP	W1yys1YP	W1yys2YP	W1yys3YP	W1yys4YP	W1yys5YP	W1yys6YP	W1yys7YP	W1yys8YP	W1yys9YP	W1yys10YP	W1yys11YP	W1yys12YP	W1yys13YP	W1yys14YP	W1yys15YP	W1yys16YP	W1yys17YP	W1yys18YP	W1yys19YP	W1yys20YP	W1yys21YP	W1yys22YP	W1yys23YP	W1mgetonYP	W1fgetonYP	W1mquarreYP	W1fquarreYP	W1talkmumYP	W1talkdadYP	W1mothdecYP	W1fathdecYP	W1fameatYP	W1gowhereYP	W1limitsnYP	W1talkschYP	W1truantYP	W1truant1YP	W1truant2YP	W1truant3YP	W1truant4YP	W1namesYP	W1excpalYP	W1moneyYP	W1thhitYP	W1achitYP	W1youbulnYP0a	W1youbulnYP0b	W1youbulnYP0c	W1youbulnYP0d	W1youbulnYP0e	W1cignowYP	W1cigfreqYP	W1alceverYP	W1alcmonYP	W1alcfreqYP	W1canntryYP	W1sprayYP	W1smashYP	W1shopYP	W1fightYP	W1dwhopreYP0a	W1dwhopreYP0b	W1dwhopreYP0c	W1dwhopreYP0d	W1dwhopreYP0e	W1dwhopreYP0f	W1dwhopreYP0g	W1dwhopreYP0h	W1careYP	W1cawhoYP0a	W1cawhoYP0b	W1cawhoYP0c	W1cawhoYP0d	W1cawhoYP0e	W1cawhoYP0f	W1cawhoYP0g	W1cawhoYP0h	W1carehrsYP	W1carehr1YP	W1carehr2YP	W1domhrsYP	W1jobYP	W1jobtimeYP	W1jobearnYP	W1famsupYP	W1tvYP	W1HcomGYP	W1hcomg2YP	W1palhomeYP	W1paloutYP	W1whofreeYP	W1whothesYP	W1alei1YP0a	W1alei1YP0b	W1alei1YP0c	W1alei1YP0d	W1alei1YP0e	W1alei1YP0f	W1alei1YP0g	W1alei1YP0h	W1alei1YP0i	W1alei1YP0j	W1alei1YP0k	W1alei1YP0l	W1alei1YP0m	W1alei1YP0n	W1alei1YP0o	W1alei1YP0p	W1alei1YP0q	W1relig4YP	W1relig5YP	W1sportYP	W1readsYP	W1chpreYP0a	W1chpreYP0b	W1chpreYP0c	W1chpreYP0d	W1chpreYP0e	W1chpreYP0f	W1chpreYP0g	W1chpreYP0h	W1LangHom1	W1LangHom2	W1LangHom3	W1bulrc	W1pbulrc	W1yschat1	W1risk	W1disabYP	W1ethgrpYP	W1ethnic2YP
NS12867A	.91085811984229	13108	131	0	.939750345969699	1990	1	2001	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	3	1	2	2	2	1	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	2	-91	1	1	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	1	1	0	0	0	0	7	2	-91	2	-91	-91	-91	-91	1	1	1	2	2	4	1	2	4	1	11	13	2	2	2	1	2	2	3	2	2	-91	-91	-91	-91	-91	-91	1	1	2	2	4	2	1	-91	2	1	3	4	4	1	1	1	5	1	1	1	1	1	1	0	0	1	4	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	3	4	1	1	0	0	0	1	0	1	4	1	4	1	5	2	-91	1	2	1	2	-91	4	1	4	3	-91	5	-91	5	1	3	2	2	-91	-91	1	2	1	3	1	1	2	1	1	1	1	4	3	2	1	1	2	4	2	4	1	2	1	1	2	4	1	1	2	1	1	2	1	4	1	2	1	2	1	1	1	4	4	1	1	3	3	4	2	3	3	2	-91	-91	2	-91	1	2	2	2	2	-1	-91	-91	-91	-91	2	-91	2	-91	-91	2	2	2	2	2	1	0	0	0	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	4	1	10	5	1	3	4	2	2	4	2	3	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	-91	1	1	1	0	0	0	0	0	0	0	-91	-91	-91	1	1	38	0	3	1	1
NS12868B	.91085811984229	13504	135	0	1.09800386699876	1990	2	2001	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	1	2	2	2	1	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	2	-91	1	1	-1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	1	0	1	1	0	0	0	0	2	2	-91	2	-91	-91	-91	-91	2	1	1	2	2	1	1	3	2	1	14	1	4	3	2	1	2	2	2	2	1	0	0	1	0	0	-91	3	2	1	3	4	2	1	1	3	1	1	4	4	1	1	2	-91	2	4	4	0	1	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	4	2	1	0	0	0	1	0	1	5	1	2	2	-91	2	-91	1	2	1	2	-91	1	4	3	3	-91	-91	4	4	1	1	1	2	-91	-91	2	1	2	1	1	3	1	1	3	1	1	1	1	4	-1	1	4	3	1	1	-1	4	2	1	1	3	4	1	3	3	1	2	3	3	3	2	3	2	-1	2	-91	2	-91	5	-91	-92	-91	1	4	3	-1	-92	-91	-91	2	-91	-92	1	2	-92	-92	-91	3	-91	-91	-91	1	6	1	1	3	1	2	1	1	2	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	14	2	-91	0	1	1	10	2	2	1	-91	1	2	2	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	-91	1	1	0	1	0	0	1	0	0	0	-91	-91	-91	1	1	19	5	3	1	1
NS12869C	1.36628717976343	12357	123	0	1.40362858549676	1989	9	2001	0	1	9	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	-91	-91	-91	1	4	1	2	2	2	1	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	2	-91	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	6	2	-91	2	-91	-91	-91	-91	2	1	1	1	-91	-91	-1	3	4	1	12	8	4	1	2	2	3	2	-1	2	1	0	0	1	0	0	-91	2	2	1	4	4	2	-1	2	1	1	3	5	3	1	2	1	3	1	2	3	1	1	1	0	0	1	4	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	3	2	2	2	-91	-91	-91	-91	-91	1	5	1	5	2	-91	2	-91	-1	-91	1	1	2	2	1	3	4	4	3	-91	5	-1	-91	-1	-91	-91	-91	2	1	-1	2	1	1	3	2	1	2	4	2	-1	-1	2	1	-1	3	-1	2	2	3	2	-1	-1	3	2	1	3	3	2	4	3	3	-1	1	2	1	2	1	-91	4	-91	-1	-91	3	-91	3	1	3	2	2	-91	-91	2	-91	2	2	2	2	2	-91	-91	-91	-91	-91	2	-91	-1	-91	-91	2	2	2	2	2	0	1	0	1	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	-91	-91	1	2	2	1	1	2	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	-91	-91	2	1	0	1	0	1	0	0	0	0	-91	-91	-91	2	1	29	-1	3	1	1
NS12870M	1.09436030422247	10104	101	1	1.71234638851833	1989	10	2001	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	5	1	2	2	2	1	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	2	-91	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	0	1	0	0	-91	2	-91	2	-91	-91	-91	-91	1	1	1	2	2	3	1	1	4	1	11	13	1	1	2	2	3	3	2	2	1	1	0	1	0	0	3	2	1	2	4	3	2	2	2	2	2	2	3	4	1	1	1	5	1	1	1	1	1	0	0	0	1	4	-1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	2	1	0	0	0	1	0	1	2	1	5	1	5	1	3	2	-91	2	-91	-91	3	2	3	2	-91	4	3	2	1	1	1	2	-91	-91	3	1	2	2	2	3	1	2	1	1	2	2	3	2	2	1	2	4	2	3	2	1	2	3	3	4	2	2	1	2	2	2	2	3	3	1	1	3	3	2	2	2	2	1	1	2	2	4	1	4	3	2	-91	-91	2	-91	2	2	2	1	2	-91	-91	-91	6	-91	2	-91	1	-1	-91	2	2	2	2	2	0	1	1	0	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	2	-91	-91	1	2	3	2	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	-91	1	4	0	1	1	0	0	0	0	0	-91	-91	-91	1	2	39	-1	3	1	1
NS12871N	.227972914986396	10437	104	0	.192431564819444	1990	8	2003	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	-96	2	-91	-91	-91	-91	2	10	3	6	-91	1	2	3	3	2	1	2	2	2	4	2	2	2	2	-1	2	-91	-91	-91	-91	-91	-91	1	2	2	4	4	3	3	-91	2	2	3	4	4	1	1	1	2	1	4	1	1	1	1	0	0	1	1	2	1	1	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	4	3	1	1	1	0	1	1	0	1	5	1	5	1	3	1	5	2	-91	1	2	-91	4	1	4	1	-91	4	-91	5	1	1	2	2	-91	-91	2	2	2	1	1	2	1	1	2	2	2	3	2	4	2	1	2	4	2	3	2	2	1	4	3	3	2	2	2	2	1	2	4	3	2	1	3	2	3	1	2	4	1	2	1	3	1	2	2	3	2	2	-91	-91	2	-91	2	2	2	2	2	-91	-91	-91	-91	-91	-92	-91	2	-91	-91	2	2	2	-92	-92	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	-1	2	-91	-1	2	-91	-91	1	2	2	1	4	4	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	5	2	1	1	0	0	0	0	0	0	0	8	0	0	2	-96	39	-92	3	5	10
NS12872P	1.36628717976343	11441	114	0	1.2450683712686	1990	3	2001	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	3	2	2	2	2	1	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	2	-91	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	0	1	0	0	-91	2	-91	2	-91	-91	-91	-91	2	1	1	1	-91	-91	2	2	3	2	8	6	2	3	2	3	2	2	2	2	2	-91	-91	-91	-91	-91	-91	2	2	2	4	4	2	2	-91	1	2	2	4	4	1	1	1	3	1	2	2	1	1	0	0	0	1	4	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	3	4	3	1	0	0	0	0	1	1	3	1	4	-1	-91	-1	-91	2	-91	1	2	-91	2	1	2	2	-91	3	-91	4	1	4	2	2	-91	-91	1	1	2	2	2	3	2	3	2	1	1	2	2	3	1	1	2	3	2	3	2	2	2	3	3	3	3	2	2	2	2	2	2	3	2	1	2	2	2	1	1	4	4	4	4	2	2	4	2	3	2	2	-91	-91	2	-91	2	2	2	2	2	-91	-91	-91	-91	-91	2	-91	-1	-91	-91	2	2	2	2	2	0	1	1	0	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	-91	-91	1	2	2	1	2	3	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-91	-91	2	3	0	1	1	0	0	0	0	0	-91	-91	-91	2	2	34	-1	3	1	1
NS12873Q	.370173169347943	12336	123	0	.332692204084581	1989	10	2001	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	2	-91	-91	-91	-91	2	8	2	7	-91	1	2	4	2	1	11	12	2	3	1	2	2	2	2	2	1	0	0	1	0	0	-91	3	1	1	2	4	2	3	1	2	3	3	4	2	1	1	1	4	1	2	3	1	1	0	0	0	1	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	3	3	1	2	-91	-91	-91	-91	-91	1	3	1	5	2	-91	1	5	2	-91	1	1	2	3	3	4	4	3	4	2	3	1	2	2	2	-91	-91	1	1	1	1	2	3	1	1	1	1	1	2	2	2	1	1	2	4	1	3	4	2	1	3	3	3	2	2	4	3	3	2	3	3	3	1	2	2	2	1	1	3	4	1	3	2	1	4	1	4	2	2	-91	-91	2	-91	1	2	2	1	2	6	-91	-91	6	-91	2	-91	2	-91	-91	2	2	2	2	2	1	0	0	0	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	10	2	-91	-91	1	2	2	1	2	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	5	4	1	0	0	0	0	0	0	0	27	79	0	1	-97	36	0	3	3	8
NS12874R	1.36628717976343	12343	123	0	1.26542289170985	1989	9	2001	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	4	1	2	2	2	1	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	2	-91	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	6	2	-91	2	-91	-91	-91	-91	1	1	1	1	-91	-91	1	3	3	1	4	1	3	2	1	1	2	1	2	1	1	1	0	1	0	0	3	1	1	1	2	3	1	1	1	2	3	4	4	4	1	2	1	2	1	2	2	1	1	1	0	0	1	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	3	2	1	0	0	0	1	0	1	5	1	5	1	5	1	5	1	2	1	2	-91	3	2	2	2	-91	4	4	4	1	1	2	2	-91	-91	2	2	1	2	2	2	2	2	2	1	1	3	2	3	1	1	2	4	2	3	2	2	1	3	3	4	2	2	2	2	2	2	2	3	2	1	2	2	2	1	2	3	4	2	3	3	3	4	2	3	2	2	-91	-91	2	-91	2	2	2	2	2	-91	-91	-91	-91	-91	2	-91	1	1	4	2	2	2	2	2	1	0	0	0	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	-91	-91	1	2	3	3	1	2	2	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	-91	-91	1	3	1	0	0	0	0	0	0	0	-91	-91	-91	2	1	39	0	3	1	1
NS12875S	1.36628717976343	12348	123	0	1.30399646610886	1990	1	2001	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	2	2	2	1	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	2	-91	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	0	1	0	0	-91	2	-91	2	-91	-91	-91	-91	2	1	1	2	2	3	1	2	4	2	3	18	2	1	1	2	2	2	2	3	2	-91	-91	-91	-91	-91	-91	3	2	1	2	2	1	1	-91	1	3	1	4	2	1	1	1	4	1	1	2	1	1	1	0	0	1	2	2	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	3	4	2	1	0	0	1	1	0	1	2	1	2	1	4	1	4	2	-91	1	2	-91	2	4	5	5	-91	2	4	5	1	2	1	2	-91	-91	1	1	1	2	1	2	1	1	2	1	2	4	2	4	1	1	2	4	1	-1	2	2	3	1	2	-1	2	2	2	3	3	3	3	3	4	3	2	2	3	-92	-91	-1	-91	4	-91	-1	-91	-998	3	2	2	2	-91	-91	2	-91	1	2	2	2	2	7	-91	-91	-91	-91	2	-91	1	1	5	1	2	2	2	2	1	0	0	0	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	2	-91	-91	1	2	1	-91	3	3	2	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	-91	2	1	1	0	0	0	0	0	0	0	-91	-91	-91	1	2	29	1	3	1	1
NS12876T	1.36628717976343	12027	120	0	1.17669722295596	1989	12	2004	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	-97	2	-91	-91	-91	-91	2	1	1	1	-91	-91	1	4	4	1	12	1	4	1	2	1	2	1	2	2	1	1	1	0	0	0	1	2	2	2	2	4	3	2	3	3	3	3	5	2	1	1	1	2	1	2	1	1	1	0	0	0	1	3	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	1	1	0	0	1	1	0	1	3	1	5	1	5	2	-91	2	-91	1	2	-91	3	1	4	4	-91	4	-91	3	1	-1	2	-1	-91	-91	2	2	2	1	1	1	1	2	3	2	2	2	2	3	1	1	2	4	1	3	3	1	2	3	3	4	2	2	2	2	2	3	2	2	3	1	2	3	2	2	-91	3	-91	2	-91	1	-91	4	2	3	2	1	4	6	1	3	2	2	2	2	2	-91	-91	-91	-91	-91	2	-91	1	1	6	2	2	2	1	2	0	1	0	0	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	-91	-91	2	2	1	-91	2	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	-91	-91	4	2	0	1	0	0	0	0	0	0	-91	-91	-91	2	-97	38	2	3	1	1
NS12877V	1.36628717976343	11442	114	0	1.28468667758607	1989	10	2001	0	1	-1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	-91	-91	-91	1	5	1	-1	2	2	1	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	2	-91	1	1	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	0	1	0	0	-91	1	1	2	-91	-91	-91	-91	1	1	1	1	-91	-91	2	4	1	2	8	15	2	3	3	2	2	3	2	2	1	0	0	1	0	0	-91	2	1	1	2	4	2	2	2	1	1	2	4	1	1	2	1	2	2	4	1	1	1	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	1	1	0	1	1	0	0	0	0	0	4	4	3	1	0	0	0	1	0	1	5	2	-91	2	-91	2	-91	1	1	1	1	1	2	3	3	2	-91	3	2	2	2	-91	4	-91	4	4	2	2	1	1	1	2	2	1	2	1	1	3	1	4	1	1	4	3	3	-1	3	3	3	4	3	4	-1	-1	3	1	1	1	1	1	1	1	2	3	3	1	3	5	3	1	4	3	3	3	1	3	2	2	-91	-91	2	-91	2	2	2	2	2	-91	-91	-91	-91	-91	1	6	2	-91	-91	1	2	2	2	2	0	1	0	0	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	2	-91	-91	1	4	4	3	4	3	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	-91	-91	3	6	0	1	0	0	0	0	0	0	-91	-91	-91	2	2	24	2	3	1	1
NS12878W	1.36628717976343	10802	108	0	1.18906741579928	1990	6	2003	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	4	1	2	2	2	1	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	2	-91	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	0	1	0	0	-91	2	-91	1	2	1	2	2	1	1	1	2	5	2	2	2	2	1	15	2	3	2	3	1	1	1	2	1	2	-91	-91	-91	-91	-91	-91	4	2	2	3	3	-1	2	-91	2	2	2	4	4	1	1	1	3	1	2	2	1	1	1	0	0	1	3	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	3	3	2	1	0	0	1	1	0	1	4	1	2	1	4	1	4	2	-91	1	1	2	2	2	3	4	4	3	3	4	1	1	2	2	-91	-91	1	2	1	2	1	3	2	1	2	1	2	2	2	3	1	1	2	3	2	2	1	2	2	3	2	3	2	1	2	2	2	2	2	3	3	2	2	1	1	2	2	3	3	2	3	3	3	4	1	3	3	2	-91	-91	2	-91	2	2	2	2	2	-91	-91	-91	-91	-91	2	-91	2	-91	-91	2	2	2	2	2	1	0	0	0	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	1	1	10	1	2	4	3	2	2	5	-91	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	2	1	1	1	0	0	0	0	0	0	0	-91	-91	-91	2	2	34	0	2	1	1
NS12879X	1.050387705694	10208	102	1	1.6698369142369	1989	10	2001	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	3	1	2	2	2	1	0	0	0	0	0	0	0	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	2	-91	2	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	0	0	0	0	0	0	0	1	0	0	-91	2	-91	2	-91	-91	-91	-91	2	1	1	1	-91	-91	1	3	1	2	1	12	1	3	2	2	1	2	2	2	1	1	1	1	0	0	3	2	4	1	2	3	1	1	2	2	2	1	5	3	1	1	1	5	1	2	3	1	1	0	0	0	1	1	2	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	3	2	2	1	0	0	0	1	0	1	5	1	3	1	4	2	-91	2	-91	1	2	-91	2	2	3	4	-91	4	4	4	1	1	2	2	-91	-91	1	1	1	2	1	2	1	2	1	1	1	3	1	4	2	1	2	4	4	3	2	2	1	3	2	4	2	2	2	2	2	3	3	3	2	1	2	2	2	1	1	4	4	1	1	1	1	4	1	-1	3	2	-91	-91	2	-91	2	2	2	2	2	-91	-91	-91	-91	-91	2	-91	2	-91	-91	2	2	2	2	2	1	0	0	0	0	0	0	0	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	3	2	-91	-91	1	2	3	1	3	3	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	-91	-91	5	1	1	0	0	0	0	0	0	0	-91	-91	-91	2	2	34	0	3	1	1
